ts,ticker,series,fav_side,fav_price,price_bin,event_cluster_id,mid,ask_close,ask_low,quote,filled,fill_px,settle,pnl,d_mid,volume,lead_h,spread_at_fill
1786820400,KXCCAPRICEICE-26AUG48,KXCCAPRICEICE-26,no,0.735,other,KXCCAPRICEICE-26,0.265,0.3,0.3,0.29,False,,0.0,,0.0050000000000000044,0.0,97.0,0.06999999999999998
1786824000,KXCCAPRICEICE-26AUG48,KXCCAPRICEICE-26,no,0.735,other,KXCCAPRICEICE-26,0.27,0.31,0.3,0.3,True,0.3,0.0,-0.3,0.0,0.0,96.0,0.07999999999999999
1786827600,KXCCAPRICEICE-26AUG48,KXCCAPRICEICE-26,no,0.735,other,KXCCAPRICEICE-26,0.27,0.31,0.31,0.3,False,,0.0,,0.0,0.0,95.0,0.07999999999999999
1786842000,KXCCAPRICEICE-26AUG48,KXCCAPRICEICE-26,no,0.735,other,KXCCAPRICEICE-26,0.27,0.31,0.31,0.3,False,,0.0,,0.0,0.0,91.0,0.07999999999999999
1786845600,KXCCAPRICEICE-26AUG48,KXCCAPRICEICE-26,no,0.735,other,KXCCAPRICEICE-26,0.27,0.31,0.31,0.3,False,,0.0,,0.0,0.0,90.0,0.07999999999999999
1786852800,KXCCAPRICEICE-26AUG48,KXCCAPRICEICE-26,no,0.735,other,KXCCAPRICEICE-26,0.27,0.31,0.31,0.3,False,,0.0,,0.0,0.0,88.0,0.07999999999999999
1786856400,KXCCAPRICEICE-26AUG48,KXCCAPRICEICE-26,no,0.735,other,KXCCAPRICEICE-26,0.27,0.31,0.31,0.3,False,,0.0,,-0.0050000000000000044,0.0,87.0,0.07999999999999999
1786874400,KXCCAPRICEICE-26AUG48,KXCCAPRICEICE-26,no,0.735,other,KXCCAPRICEICE-26,0.265,0.31,0.31,0.3,False,,0.0,,0.355,0.0,82.0,0.09
1786989600,KXCCAPRICEICE-26AUG48,KXCCAPRICEICE-26,no,0.735,other,KXCCAPRICEICE-26,0.62,0.99,0.31,0.98,True,0.98,0.0,-0.98,0.0,0.0,50.0,0.74
1786993200,KXCCAPRICEICE-26AUG48,KXCCAPRICEICE-26,no,0.735,other,KXCCAPRICEICE-26,0.62,0.99,0.99,0.98,False,,0.0,,-0.21999999999999997,0.0,49.0,0.74
