ts,ticker,series,fav_side,fav_price,price_bin,event_cluster_id,mid,ask_close,ask_low,quote,filled,fill_px,settle,pnl,d_mid,volume
1781095800,KXARTISTSTREAMSY-RIRI26DEC31-8.75B,KXARTISTSTREAMSY,yes,0.72,other,KXARTISTSTREAMSY,0.965,0.98,0.98,0.97,False,,1.0,,0.0,0.0
1781095860,KXARTISTSTREAMSY-RIRI26DEC31-8.75B,KXARTISTSTREAMSY,yes,0.72,other,KXARTISTSTREAMSY,0.965,0.98,0.98,0.97,False,,1.0,,0.0,0.0
1781096040,KXARTISTSTREAMSY-RIRI26DEC31-8.75B,KXARTISTSTREAMSY,yes,0.72,other,KXARTISTSTREAMSY,0.965,0.98,0.98,0.97,False,,1.0,,0.0,0.0
1781096220,KXARTISTSTREAMSY-RIRI26DEC31-8.75B,KXARTISTSTREAMSY,yes,0.72,other,KXARTISTSTREAMSY,0.965,0.98,0.98,0.97,False,,1.0,,0.0,0.0
1781096400,KXARTISTSTREAMSY-RIRI26DEC31-8.75B,KXARTISTSTREAMSY,yes,0.72,other,KXARTISTSTREAMSY,0.965,0.98,0.98,0.97,False,,1.0,,0.0,0.0
1781096520,KXARTISTSTREAMSY-RIRI26DEC31-8.75B,KXARTISTSTREAMSY,yes,0.72,other,KXARTISTSTREAMSY,0.965,0.98,0.98,0.97,False,,1.0,,0.0,0.0
1781096700,KXARTISTSTREAMSY-RIRI26DEC31-8.75B,KXARTISTSTREAMSY,yes,0.72,other,KXARTISTSTREAMSY,0.965,0.98,0.98,0.97,False,,1.0,,0.0,0.0
1781096880,KXARTISTSTREAMSY-RIRI26DEC31-8.75B,KXARTISTSTREAMSY,yes,0.72,other,KXARTISTSTREAMSY,0.965,0.98,0.98,0.97,False,,1.0,,0.0,0.0
1781097060,KXARTISTSTREAMSY-RIRI26DEC31-8.75B,KXARTISTSTREAMSY,yes,0.72,other,KXARTISTSTREAMSY,0.965,0.98,0.98,0.97,False,,1.0,,0.0,0.0
1781097180,KXARTISTSTREAMSY-RIRI26DEC31-8.75B,KXARTISTSTREAMSY,yes,0.72,other,KXARTISTSTREAMSY,0.965,0.98,0.98,0.97,False,,1.0,,0.0,0.0
1781097360,KXARTISTSTREAMSY-RIRI26DEC31-8.75B,KXARTISTSTREAMSY,yes,0.72,other,KXARTISTSTREAMSY,0.965,0.98,0.98,0.97,False,,1.0,,0.0,0.0
